Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
NGC1851;GCl;05:14:06.73;-40:02:47.8;Col;9.00;;;8.80;7.23;;;;;;0.0288;2.120;-0.630;320;0.001069;;;;;;;;C 073,MWSC 0489;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC2070;HII;05:38:42.36;-69:06:03.2;Dor;16.00;16.00;;5.00;7.25;;;;;;;;;251;0.000838;;;;;;;;C 103;30 Dor Cluster,Tarantula Nebula;In the Large Magellanic Cloud.;;Type:1|RA:1|Dec:1|Const:99|MajAx:7|MinAx:7|B-Mag:3|V-Mag:2|RadVel:2|Redshift:2
NGC2237;Neb;06:30:54.61;+05:02:57.0;Mon;80.00;50.00;;;;;;;;;;;;38;0.000125;;;;;;;;;Rosette A;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|RadVel:2|Redshift:2
NGC2244;Dup;06:31:55.56;+04:56:34.6;Mon;;;;;;;;;;;;;;;;;;;;2239;;;;;;;Type:1|RA:1|Dec:1|Const:99
NGC2261;RfN;06:39:09.51;+08:44:39.6;Mon;2.00;1.00;;12.46;11.85;9.69;8.03;6.38;;;;;;;;;;;;;;;C 046,LBN 920;Hubble's Nebula;;;Type:1|RA:1|Dec:1|Const:99|MajAx:9|MinAx:9|B-Mag:2|V-Mag:2|J-Mag:2|H-Mag:2|K-Mag:2
NGC2360;OCl;07:17:43.12;-15:38:28.7;CMa;9.00;;;7.62;7.20;;;;;;0.9018;0.385;5.589;27;0.000091;;;;;;;;C 058,MWSC 1165;Caroline's Cluster;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC2362;OCl;07:18:41.47;-24:57:15.1;CMa;7.20;;;;4.10;;;;;;0.7420;-2.791;2.953;29;0.000096;;;;;;;;C 064,MWSC 1173,Tau CMa;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC2392;PN;07:29:10.76;+20:54:42.6;Gem;0.86;;;10.12;9.61;10.87;10.92;10.94;;;0.5004;-1.412;0.550;84;0.000281;9.30;10.38;10.53;;;;BD +21 1609,HD 59088,HIP 36369,TYC 1372-01287-1;C 039,IRAS 07262+2100,PN G197.8+17.3;Eskimo Nebula;;;Type:1|RA:1|Dec:1|Const:99|MajAx:99|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2|Cstar U-Mag:8|Cstar B-Mag:8|Cstar V-Mag:8
NGC2403;G;07:36:51.40;+65:36:09.2;Cam;19.95;10.07;126;8.83;8.43;6.98;6.42;6.19;23.48;SABc;;;;129;0.000430;;;;;;;;2MASX J07365139+6536091,C 007,IRAS 07321+6543,MCG +11-10-007,PGC 021396,UGC 03918;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
NGC2419;GCl;07:38:07.95;+38:52:47.9;Lyn;4.50;;;;10.05;;;;;;;-0.020;-0.570;-21;-0.000069;;;;;;;;2MASX J07380795+3852479,C 025,MWSC 1290;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|V-Mag:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC2477;OCl;07:52:09.78;-38:31:59.7;Pup;18.60;;;6.64;5.80;;;;;;0.6650;-2.449;0.870;7;0.000024;;;;;;;;C 071,MWSC 1363;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC2506;OCl;08:00:01.78;-10:46:10.7;Mon;10.80;;;8.28;7.60;;;;;;0.2920;-2.571;3.912;85;0.000283;;;;;;;;C 054,MWSC 1406;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC2516;OCl;07:58:07.06;-60:45:12.5;Car;24.30;;;3.84;3.80;;;;;;2.4118;-4.658;11.152;24;0.000081;;;;;;;;C 096,MWSC 1393;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC2523;G;08:15:00.09;+73:34:44.3;Cam;2.79;1.78;66;12.64;11.90;10.25;9.59;9.24;23.25;Sbc;;;;3426;0.011495;;;;;;;;2MASX J08150007+7334442,IRAS 08092+7343,MCG +12-08-031,PGC 023128,UGC 04271;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
