Name,RA,Dec,V-Mag,Spectrum
HIP 29808,6.276553,-39.264394,6.0,A2Vm...
9    Gem,6.282974,23.740909,6.24,B3Ia
HIP 29842,6.283675,-37.737445,5.54,K2III
HIP 29843,6.284331,-22.715229,6.05,F8/G0V
75    Ori,6.285172,9.94239,5.39,A2V
HIP 29852,6.285991,-37.253498,5.88,A2V
HIP 29860,6.287816,5.100112,5.7,G0.5Vb
HIP 29895,6.294923,-16.815908,5.15,K1III
HIP 29913,6.297706,-52.733031,6.4,K2/K3III
1    Lyn,6.298563,61.515286,5.01,M3III
HIP 29931,6.301558,14.382859,6.12,A3V
HIP 29941,6.303813,-19.966974,5.51,B2/B3V
43    Aur,6.304684,46.360443,6.33,K2III
HIP 29982,6.311209,9.047183,6.24,K0
HIP 29993,6.313553,-15.024954,6.04,M1III:
HIP 29996,6.314051,-9.390018,5.36,K1III
HIP 29997,6.314105,69.319787,4.76,A0Vn
HIP 30011,6.316382,-20.925611,5.79,B3II/III
HIP 30019,6.317178,17.325259,6.27,B9IIIsp...
HIP 30028,6.31887,-8.586012,6.22,B9V
2    Lyn,6.327052,59.010964,4.44,A2Vs
HIP 30062,6.32727,-22.103119,6.29,K3III
HIP 30069,6.328043,-34.396591,5.76,B9V
7    Mon,6.328555,-7.822908,5.27,B2.5V
HIP 30093,6.333222,-2.944493,4.91,M1III
HIP 30099,6.334507,14.651127,5.67,K3Ib
Furud,6.338553,-30.063367,3.02,B2.5V
HIP 30141,6.3431,-23.637963,6.49,K0III
HIP 30143,6.3434,-34.144144,5.55,B3V
HIP 30190,6.351509,-11.817324,6.32,K5
HIP 30200,6.35331,29.540816,6.41,A1Vs
HIP 30214,6.356865,-11.773238,5.48,B1Vpe SB
HIP 30217,6.357158,2.268522,6.3,A4.5V
HIP 30218,6.357201,17.763503,6.32,G9:III:
45    Aur,6.362811,53.452179,5.34,F5III...
4    Lyn,6.367654,59.372099,6.05,A3V
Del Col,6.368564,-33.4364,3.85,G7II
HIP 30318,6.376776,12.570237,6.0,F0III
Pi 1Dor,6.37729,-69.984043,5.56,K5III
Mirzam,6.378329,-17.955918,1.98,B1II/III
Nu  Pic,6.382179,-56.369969,5.6,Am
Tejat,6.382673,22.513586,2.87,M3IIIvar
HIP 30352,6.383741,-63.683136,6.3,M1III
HIP 30357,6.385103,56.976349,6.47,K1III
HIP 30376,6.387355,-31.790312,6.31,G8III
HIP 30382,6.38847,3.764489,6.41,B3V
HIP 30407,6.393311,-9.874727,6.11,K5
8Eps Mon,6.396135,4.592865,4.39,A5IV
HIP 30420,6.396151,-15.071257,6.27,K2/K3III
HIP 30423,6.396367,-58.543871,6.47,A3V
HIP 30436,6.398866,-25.577629,5.61,K5III
Canopus,6.399195,-52.69566,-0.62,F0Ib
HIP 30444,6.400281,-36.707764,5.62,K1II/III
HIP 30448,6.400634,8.885014,6.24,B8Vn
HIP 30457,6.402867,-11.530088,5.21,K3III
HIP 30463,6.40385,-60.281325,5.78,A0V
HIP 30468,6.405716,-12.961939,6.12,B4V
HIP 30480,6.407384,-63.428929,6.45,G3III/IV
HIP 30501,6.412152,25.048714,6.35,K2III
HIP 30503,6.412193,-28.780112,6.37,G2V
HIP 30505,6.41236,-40.283979,6.3,B9V
HIP 30517,6.414658,16.05713,6.35,G9III
46Psi1Aur,6.414973,49.287893,4.92,K5Iabvar
HIP 30524,6.415501,-63.828144,6.26,B6V
HIP 30541,6.420278,7.085713,6.26,K1Iabv SB
HIP 30545,6.421263,-0.945883,5.88,F8V
HIP 30564,6.424493,14.721992,6.3,C5II
Pi 2Dor,6.424623,-69.690299,5.37,G8III
HIP 30566,6.425001,-35.064153,6.24,K3III
HIP 30570,6.425816,23.327169,6.05,A2Vn
HIP 30591,6.428793,-48.176898,5.76,B9V
HIP 30595,6.42976,-3.889032,6.33,G9III
HIP 30602,6.431202,11.125884,6.39,A0
HIP 30608,6.433008,-7.894983,6.4,A4V
HIP 30627,6.435986,-3.515691,6.42,G5
HIP 30651,6.440514,56.285096,5.53,A3m
HIP 30660,6.442901,-4.5974,6.16,B2.5V
HIP 30666,6.444329,-1.507336,5.87,A3Vn
HIP 30669,6.445183,-14.603429,6.32,K0/K1III
HIP 30675,6.445792,-7.511936,6.35,A0Vn
5    Lyn,6.44691,58.417409,5.21,K4III
HIP 30700,6.450243,-4.355659,6.5,B4V
HIP 30703,6.451147,-58.002116,5.82,K3III
HIP 30706,6.452107,-37.895507,6.48,F3V
HIP 30711,6.45316,-25.856496,6.05,F8/G0V
HIP 30717,6.453823,0.299246,5.19,K1II
HIP 30720,6.454331,-0.275999,5.55,K5III
HIP 30728,6.455681,2.908288,5.55,G9III
HIP 30741,6.459867,32.562946,6.43,K0
16    Gem,6.465742,20.49632,6.22,A2Vs
10    Mon,6.465992,-4.762154,5.06,B2V
Lam CMa,6.469503,-32.58007,4.47,B4V
HIP 30794,6.47069,70.53532,6.03,A4V
HIP 30798,6.471324,1.912679,6.48,B9V
HIP 30804,6.471893,10.303893,6.16,K2III-IV
HIP 30815,6.47446,16.238386,6.24,G5
48    Aur,6.476136,30.493034,5.75,F5.5Ibv
HIP 30836,6.477061,-17.466009,5.76,K0III
HIP 30840,6.477568,-32.371279,5.74,B5IV
HIP 30849,6.47845,-41.074877,6.32,F2/F3V
11Bet Mon,6.480297,-7.033062,3.76,B3Ve
18Nu  Gem,6.482719,20.212133,4.13,B6III
HIP 30906,6.487448,2.646194,6.17,M1
HIP 30932,6.491255,-56.852766,5.2,K0III
HIP 30953,6.496969,-50.239085,5.28,F2V
47    Aur,6.500827,46.685554,5.88,K4III
HIP 30973,6.500836,-65.568242,6.28,F0III
HIP 30986,6.503132,-10.081511,5.92,K0
HIP 30988,6.503283,-19.214889,6.44,M0/M1III
HIP 31024,6.50969,-13.148172,6.16,B2III
HIP 31037,6.512858,-27.769575,5.92,B3IV/V
6    Lyn,6.51309,58.162633,5.86,K0IV
HIP 31056,6.516638,-40.916253,6.19,K3III
HIP 31066,6.519323,11.251375,6.17,B2V:nne
HIP 31068,6.519624,-61.879545,6.15,B3V
HIP 31072,6.520304,-35.25884,5.82,G8III+...
HIP 31079,6.521744,-51.825953,5.58,F8V
HIP 31084,6.523068,-12.391953,5.16,K1III
HIP 31086,6.523333,-32.868548,6.31,M4III
HIP 31099,6.526374,-36.940027,6.26,M2/M3III
19    Gem,6.527065,15.903501,6.38,A8V
HIP 31119,6.530083,11.544412,5.22,A3V
HIP 31121,6.530573,-8.158235,5.43,K2III
4Xi 1CMa,6.530935,-23.418422,4.34,B1III
Mu  Pic,6.532864,-58.753835,5.69,B9V
HIP 31158,6.538485,17.784349,6.26,F6V...
12    Mon,6.538668,4.855999,5.88,K0V
HIP 31165,6.539271,-37.696702,5.25,G8III
HIP 31167,6.539758,-5.86882,5.6,F0Vnn+...
HIP 31168,6.539798,11.67352,6.08,K0III
HIP 31173,6.540885,32.454898,5.82,A3m + A3m
HIP 31190,6.54416,-32.030447,5.73,B2V
HIP 31205,6.546354,-11.166381,6.3,K0III:...
13    Mon,6.548396,7.332965,4.47,A0Ib
HIP 31241,6.552844,-38.62519,6.44,G8III
HIP 31265,6.557304,-52.329234,6.18,G8III
HIP 31266,6.557409,-20.923961,6.39,K0III+...
HIP 31277,6.560046,14.155163,5.57,K2III:
HIP 31278,6.560534,-1.220154,5.09,B5Vn
HIP 31299,6.563745,-36.232029,5.42,K3III
7    Lyn,6.575777,55.353042,6.45,K0III:
HIP 31362,6.576481,-32.716255,5.62,B9V
14    Mon,6.579533,7.572482,6.44,A0Vs
HIP 31407,6.58294,-52.975607,4.35,B9III
5Xi 2CMa,6.584274,-22.964793,4.54,A0III
49    Aur,6.586684,28.022314,5.26,A0Vnn
HIP 31446,6.58773,0.890216,5.78,B8Ib
HIP 31448,6.588221,9.988335,5.93,K4III
HIP 31457,6.590061,-36.779879,5.59,A0V
HIP 31469,6.591894,-22.109053,6.32,K0III
HIP 31509,6.598344,-36.088632,6.36,F6V
6Nu 1CMa,6.606347,-18.659904,5.71,G8/K0III+..
HIP 31579,6.609121,38.4455,5.4,C5II
HIP 31583,6.609814,-5.211143,5.52,B8V
7Nu 2CMa,6.611399,-19.255879,3.95,K1III+...
HIP 31593,6.611407,-22.614732,6.35,B3V
HIP 31599,6.612944,-13.321036,5.95,K4/K5III
HIP 31603,6.614243,-41.557141,6.36,K0II
HIP 31617,6.617191,-38.146506,6.03,K0III
HIP 31637,6.62051,-36.990651,5.72,B6IV
HIP 31646,6.623345,6.135382,6.05,O8e
HIP 31650,6.624247,24.590851,6.44,A3V
HIP 31662,6.626915,10.853293,6.39,K0
11    Lyn,6.627332,56.857531,5.87,A2V
HIP 31672,6.627868,2.704158,6.17,K1III
HIP 31674,6.627998,-12.985116,6.11,K1III:
8    Lyn,6.6282,61.481233,5.94,G8IV-V
Alhena,6.628528,16.399252,1.93,A0IV
Nu  Pup,6.629353,-43.195934,3.17,B8III SB
HIP 31688,6.629891,-32.339735,5.25,K1III
HIP 31697,6.631307,4.95667,6.14,B1Ib
8Nu 3CMa,6.631506,-18.237478,4.42,K0II/III
HIP 31703,6.631984,73.695636,6.26,F2
HIP 31711,6.633443,-61.533387,6.15,G1/G2V
HIP 31733,6.639016,-2.543897,6.14,K2
HIP 31736,6.639697,-23.580321,6.48,A2V
53    Aur,6.639725,28.984354,5.76,B9npe...
HIP 31758,6.643174,-16.873547,6.01,A0IV
HIP 31765,6.643787,-48.220183,5.05,G8III
HIP 31766,6.643941,1.613518,6.23,O9.5II
51    Aur,6.644317,39.390854,5.7,K5III
52Psi3Aur,6.646995,39.902559,5.34,B8III
HIP 31813,6.651472,22.030881,6.09,G9III
HIP 31827,6.654644,-14.145764,4.82,K2III
50Psi2Aur,6.655507,42.488877,4.8,K3III
HIP 31850,6.658745,24.600162,6.43,F8IV
54    Aur,6.6592,28.263134,6.02,B7III
HIP 31859,6.660062,-23.695662,6.05,A0V
HIP 31870,6.66185,-30.470491,5.7,K1III
HIP 31876,6.663255,12.982768,5.99,A2V
HIP 31889,6.666078,44.014114,6.35,K1III
Zet Men,6.667474,-80.813593,5.61,A5III
HIP 31940,6.674679,77.995782,5.75,K5III
HIP 31946,6.675624,71.748786,5.88,K0III
HIP 31977,6.68266,-71.775192,6.5,K1IIICN...
15    Mon,6.682961,9.895754,4.66,O7
HIP 31992,6.684845,0.495323,5.79,B8III
HIP 32007,6.68727,-40.349847,6.16,B4V
HIP 32012,6.688117,11.003197,6.19,M1III
25    Gem,6.689138,28.196638,6.45,G5Ib
HIP 32020,6.689428,16.39765,6.28,A1V
HIP 32040,6.693822,35.931928,6.48,F8III
HIP 32064,6.698996,-9.167537,5.21,M0III
HIP 32067,6.699786,6.345425,6.36,O6
HIP 32091,6.704551,-38.398791,6.28,A+...
26    Gem,6.706757,17.645303,5.2,A2V
HIP 32144,6.712791,-22.44859,6.26,F2V
55Psi4Aur,6.718051,44.52445,5.04,K5III
HIP 32177,6.718504,3.033801,6.18,K0
HIP 32190,6.720483,37.147375,6.21,K0
HIP 32208,6.723154,-39.193118,6.3,A8:+...
HIP 32222,6.726872,-73.118208,6.36,G8III
HIP 32226,6.727402,3.932528,5.88,B0III
Mebsuta,6.732202,25.131124,3.06,A3mA6-A9
30    Gem,6.733137,13.228017,4.49,K1III
HIP 32261,6.736527,53.295939,6.28,K0
HIP 32268,6.736812,36.109258,6.37,A2V
HIP 32269,6.736888,-54.695507,6.47,B5/B6V
10    CMa,6.741241,-31.070523,5.23,B2V
28    Gem,6.745961,28.970932,5.42,K4III
HIP 32322,6.747765,-27.341666,6.43,F7V
HIP 32332,6.748796,-70.433758,6.1,K3III
Sirius,6.752481,-16.716116,-1.44,A0m...
Alzirr,6.754824,12.895591,3.35,F5IV
HIP 32366,6.756378,-31.793661,5.92,F7V
HIP 32368,6.75649,-23.462432,6.04,K2III
HIP 32385,6.758664,-30.94898,5.62,B+...
HIP 32402,6.764922,-52.409691,5.81,K3III
32    Gem,6.765055,12.693561,6.47,A9III
HIP 32411,6.766499,-14.796127,5.3,A1IV/V
HIP 32434,6.770042,-37.775325,6.19,B3Vne
12    Lyn,6.770595,59.44167,4.86,A3V
HIP 32439,6.77067,79.564811,5.44,F8V
16    Mon,6.775671,8.587153,5.92,B2.5V
HIP 32474,6.777505,-10.10736,5.66,B9.5V
HIP 32477,6.778242,-54.695028,6.45,G6III
56Psi5Aur,6.778983,43.577427,5.24,G0V
13    Lyn,6.780417,57.169176,5.34,K0III
11    CMa,6.780859,-14.425971,5.28,B8/B9III
HIP 32494,6.7813,-51.265667,5.39,K1II/IIIp+G:
HIP 32500,6.782923,-87.024964,6.46,F3V
12    CMa,6.783745,-21.015402,6.07,B7II/III
HIP 32531,6.78853,-55.539988,5.6,K5III
17    Mon,6.788842,8.037254,4.77,K4III
HIP 32537,6.789278,-37.929698,5.27,B8/B9V
HIP 32539,6.789849,18.193452,6.35,A2V
HIP 32558,6.793673,-8.998503,5.08,M1II
57Psi6Aur,6.794327,48.789476,5.22,K1III
18    Mon,6.79768,2.412159,4.48,K0III
Alp Pic,6.803194,-61.941391,3.24,A7IV
HIP 32609,6.803407,55.704195,5.54,F5V:+...
HIP 32617,6.805296,-1.318922,5.75,F1V
HIP 32677,6.816038,-15.144726,5.39,B7IV
HIP 32682,6.817682,1.002065,6.16,B3II-III
HIP 32698,6.821225,-2.272038,5.75,B8IIIn
HIP 32740,6.828143,32.606756,5.72,K3II
HIP 32744,6.828889,-24.076066,6.31,A0/A1V
HIP 32746,6.828968,37.512748,6.49,K5
33    Gem,6.83051,16.202888,5.87,B7III
13Kap CMa,6.830683,-32.508478,3.5,B1.5IVne
HIP 32761,6.830921,-53.622449,4.41,G6II
HIP 32765,6.831838,-46.61456,5.14,F5III
Tau Pup,6.832266,-50.61456,2.94,K0III...
HIP 32775,6.833614,-60.249146,6.11,F7III-IV
HIP 32809,6.83938,-17.084555,5.77,K3III
HIP 32810,6.839819,-31.706057,5.74,B3V
35    Gem,6.840416,13.413177,5.68,K3III
HIP 32827,6.8436,-25.778394,6.32,B2III/IV
HIP 32838,6.845084,-8.040996,6.31,A2p SrCrEu
58Psi7Aur,6.846097,41.78123,4.99,K3III
HIP 32851,6.847176,-0.540882,5.78,F2V
HIP 32855,6.847876,-34.367318,4.99,K2/K3III
42    Cam,6.849191,67.571934,5.14,B4IV
Iot Vol,6.857495,-70.963411,5.41,B7IV
HIP 32918,6.859048,-48.292754,6.42,K2/K3III
36    Gem,6.859179,21.761148,5.28,A2V
HIP 32931,6.860938,3.041991,6.37,A2Vs
HIP 32938,6.861785,-36.23027,5.94,A3V
HIP 32968,6.866664,23.601718,5.68,K5III
HIP 32990,6.873017,-5.316277,6.3,K0
HIP 33012,6.879287,-59.341195,6.41,A3m...
HIP 33015,6.879761,-43.975594,6.47,B8V
34The Gem,6.879816,33.961254,3.6,A3III
HIP 33024,6.880408,8.380373,5.75,F0Vn
HIP 33040,6.883417,-26.957632,6.33,M6III
59    Aur,6.883725,38.869157,6.1,F2V
HIP 33044,6.884316,35.787995,6.03,K3III:
14    Lyn,6.884738,59.448543,5.34,G4III...
HIP 33056,6.885438,44.839941,6.24,A8Vn
60    Aur,6.887054,38.438013,6.32,F5V:
HIP 33077,6.88856,-19.032763,5.65,A9/F0III
HIP 33079,6.8894,-18.932844,6.13,A3III
HIP 33082,6.889556,10.99665,6.3,K0III
15    CMa,6.892474,-20.224254,4.82,B1Ib
HIP 33094,6.892756,-28.539794,6.05,G3/G5V
43    Cam,6.895068,68.888309,5.11,B7III
HIP 33126,6.898737,-24.538756,6.23,A0V
61Psi8Aur,6.899187,38.505018,6.46,B9.5sp...
HIP 33139,6.900633,-50.6116,6.24,K0/K1III
16Omi1CMa,6.902209,-24.184211,3.89,K3Iab
HIP 33154,6.902386,-5.852188,6.39,A6Vn
14The CMa,6.903167,-12.038628,4.08,K4III
HIP 33184,6.906851,-1.126996,5.44,A4IV
HIP 33189,6.907412,-42.365571,6.32,C3II
38    Gem,6.910732,13.177827,4.73,F0Vp
HIP 33210,6.911679,-1.756486,6.2,B3IVe+...
HIP 33243,6.916366,-2.803588,6.03,G6III:
17    CMa,6.917427,-20.404876,5.8,A2V
HIP 33269,6.920738,43.910031,6.16,A9III
HIP 33271,6.920888,45.826408,6.31,K0III-IV
37    Gem,6.921853,25.375697,5.74,G0V
HIP 33297,6.926282,8.324285,6.28,A0V
19Pi  CMa,6.927064,-20.136497,4.66,F2IV/V
HIP 33316,6.929702,-22.941439,5.29,B2/B3III
HIP 33330,6.931881,-31.790179,6.36,B3V
18Mu  CMa,6.935179,-14.04343,5.0,B9.5V
20Iot CMa,6.935618,-17.054242,4.36,B3Ib/II
HIP 33357,6.937775,-48.721144,4.94,M1III
HIP 33372,6.940509,9.956578,5.9,B8Vn
Psi9Aur,6.942238,46.273998,5.85,B8III
The Men,6.942911,-79.420193,5.45,B9.5V
HIP 33394,6.946028,-35.341334,6.27,K2III
HIP 33415,6.94891,46.705352,5.88,K0III:
HIP 33420,6.950026,-8.179295,6.31,A2V+...
HIP 33421,6.950145,33.681039,5.91,G5III
HIP 33444,6.953648,57.563287,6.03,K3III
15    Lyn,6.954612,58.422759,4.35,G5III-IV
HIP 33451,6.954886,-35.507153,6.23,F5V
HIP 33453,6.95514,37.394723,6.48,M3
HIP 33465,6.957108,11.907554,6.26,F2Ib-II
HIP 33478,6.95942,-24.630841,5.45,F3V
16    Lyn,6.960309,45.094094,4.9,A2Vn
HIP 33492,6.961842,-27.537505,6.22,B2/B3V
HIP 33532,6.968765,-27.164381,6.36,B2V
HIP 33558,6.973638,-34.111708,5.07,B4IV/V
HIP 33575,6.976639,-25.414157,5.59,B2V
HIP 33577,6.976772,-56.394849,6.46,F2II
Adhara,6.977097,-28.972084,1.5,B2II
HIP 33584,6.977476,7.6223,6.25,A3V
HIP 33588,6.977715,-55.729122,6.26,K2III
HIP 33590,6.978259,-45.767593,6.23,A0V
HIP 33591,6.978805,-30.998037,6.41,B3V
39    Gem,6.979839,26.081079,6.2,F8Vbwvar
HIP 33603,6.982507,3.602355,5.96,G8III
62    Aur,6.984126,38.052317,6.02,K2III
HIP 33644,6.988937,7.316967,6.34,B7III
40    Gem,6.991092,25.914171,6.4,B8III
HIP 33666,6.994237,-21.602884,6.26,B2III
HIP 33682,6.997378,-67.916443,5.18,K3III
HIP 33694,7.001081,76.977408,4.55,K4III
HIP 33703,7.002301,-20.158425,6.32,B3V
41    Gem,7.004396,16.078998,5.73,K3Ib
Citalá,7.00501,-5.367162,6.29,G0III-IV
HIP 33729,7.006599,-8.406821,5.95,B9III
HIP 33754,7.010927,-9.202967,6.49,B1Ib
HIP 33760,7.011809,-28.489574,6.28,F3/F5V
HIP 33774,7.013818,-33.46553,6.39,G8II/III
HIP 33779,7.014303,-51.402585,5.14,M1III
HIP 33800,7.018096,-58.939937,6.01,F0V
HIP 33804,7.018318,-25.215634,5.64,B2/B3III/IV
HIP 33827,7.022612,70.808296,5.69,K4III
Nganurganity,7.028652,-27.93483,3.49,K4III
HIP 33873,7.031366,-1.345883,6.2,K0
HIP 33878,7.032329,-5.722065,5.22,M2III
HIP 33909,7.037633,-43.40387,6.44,A0V
HIP 33914,7.038193,15.336008,5.78,K1III:
42Ome Gem,7.040217,24.215446,5.2,G5II
HIP 33929,7.040426,17.755521,5.96,M1.5
HIP 33937,7.04258,16.674447,5.86,M2III
19    Mon,7.048549,-4.239231,4.99,B1V
24Omi2CMa,7.050409,-23.833291,3.02,B3Ia
HIP 34000,7.054195,-59.178109,5.5,B9IV
HIP 34002,7.054977,9.138355,5.96,A3Vs
HIP 34017,7.058457,29.337081,5.93,G4V
HIP 34033,7.060576,10.951817,5.14,K3III
Muliphein,7.062637,-15.633286,4.11,B8II
HIP 34055,7.064333,12.594242,6.01,K5
HIP 34059,7.064896,-49.58392,4.92,A4IV
HIP 34065,7.065928,-43.608039,5.56,G3V...
HIP 34066,7.06596,-10.123765,6.44,B9IIIn
HIP 34081,7.067444,-42.33728,5.2,Am
HIP 34086,7.068124,-5.323979,5.63,K3III
Mekbuda,7.068481,20.570297,4.01,G3Ibv SB
HIP 34105,7.071757,-56.749724,5.14,A0p:
HIP 34142,7.079736,-22.031688,6.09,K2IIICN...
HIP 34168,7.08583,47.775044,6.37,B9IIIn
HIP 34177,7.087883,-50.360042,6.47,K3III
44    Gem,7.088436,22.637458,6.0,B8Vn
HIP 34200,7.092229,-34.7777,6.15,F2V
HIP 34215,7.094174,9.1858,5.78,M0III
HIP 34217,7.094391,52.758558,6.17,A3Vs
HIP 34234,7.097122,-10.66008,6.5,B0.5IVn
HIP 34238,7.097676,70.731924,6.49,K0III
HIP 34248,7.100135,-30.655711,6.34,B3V
HIP 34250,7.10034,59.80185,6.4,G8III:
HIP 34253,7.100629,-38.382854,6.09,G0III
HIP 34267,7.103222,34.473967,5.55,G8IV
HIP 34270,7.103974,-68.83758,6.47,K0III
HIP 34297,7.10999,-12.393949,6.48,B7Iab...
HIP 34301,7.111324,-11.294014,5.41,B0.5IV
HIP 34318,7.114577,-24.960572,6.09,K2III
HIP 34338,7.118464,4.910582,6.1,B9.5III
HIP 34339,7.118633,-40.893268,5.8,B3V
HIP 34349,7.120359,-51.968283,5.96,K0III
HIP 34350,7.121189,-59.716416,6.46,B3V
HIP 34358,7.122889,34.009288,5.94,K4III
HIP 34360,7.122941,-23.840722,5.75,B2V:nn
HIP 34367,7.123577,28.176695,6.47,B9V
HIP 34387,7.130414,7.471214,5.74,K0III:
HIP 34428,7.13702,33.832388,6.31,K1
45    Gem,7.139455,15.930675,5.47,G8III
Wezen,7.139857,-26.3932,1.83,F8Ia
HIP 34462,7.143401,37.445096,6.19,K1III
Gam1Vol,7.145098,-70.497087,5.68,F2
Gam2Vol,7.145788,-70.498932,3.78,G8IIIvar
HIP 34495,7.147519,-39.655657,4.83,B3IV/V
HIP 34536,7.155625,-10.346565,6.23,O6
HIP 34561,7.159268,-16.234509,6.0,B1Ib/II
HIP 34579,7.161951,-25.231034,5.69,B2V
HIP 34608,7.168524,21.246985,6.43,G9V
HIP 34617,7.169268,-18.685637,6.23,F3V
20    Mon,7.170467,-4.237106,4.91,K0III
HIP 34624,7.172034,-27.49152,5.46,G8III
HIP 34670,7.179858,-48.932098,5.12,K2III
46Tau Gem,7.185659,30.245163,4.41,K2III
47    Gem,7.189741,26.856587,5.75,A4IV
21    Mon,7.189893,-0.301928,5.44,F2V
63    Aur,7.194255,39.320549,4.91,K4II-III
HIP 34758,7.19489,-20.883063,5.84,A0IV/V
HIP 34763,7.196347,16.976344,6.5,K5
HIP 34768,7.197606,5.654703,6.07,A1V
22Del Mon,7.197739,-0.492764,4.15,A2V
HIP 34780,7.20055,-63.190059,6.03,A0IV/V
HIP 34782,7.201137,-30.821365,6.1,A8III/IV
HIP 34789,7.202081,5.474347,6.15,K0III
26    CMa,7.203393,-25.942588,5.91,B2IV/V
HIP 34802,7.204392,-40.498808,5.3,A3p...
HIP 34817,7.207173,-36.544381,5.94,B4V
48    Gem,7.207327,24.128594,5.85,F5IV
HIP 34834,7.20935,-46.759305,4.49,F0IV
HIP 34860,7.213635,27.224823,6.46,F8V
HIP 34888,7.218665,-11.251341,5.77,K0
HIP 34899,7.220377,-45.182739,4.87,Ap
51    Gem,7.222854,16.158966,5.07,K3V
HIP 34912,7.223166,51.428745,5.46,M3III
HIP 34914,7.22334,-22.674241,5.99,K4III
HIP 34922,7.225637,-44.639739,4.42,M5e
HIP 34924,7.226792,-27.35636,6.12,B2II
HIP 34940,7.230107,-22.905778,6.34,B2IV
HIP 34954,7.232594,-30.339791,6.32,B2III
HIP 34956,7.232779,71.816584,6.36,K0
HIP 34975,7.236347,-3.901779,5.8,K5III
27    CMa,7.237559,-26.352507,4.42,B3III
HIP 34982,7.237644,-9.947533,5.9,K3III
HIP 34987,7.238906,3.111414,5.36,K0III
HIP 34999,7.241181,-10.316245,6.02,B0III
HIP 35005,7.242395,12.115824,5.71,G6III
HIP 35020,7.243928,-48.271927,4.75,B8/B9V
52    Gem,7.244993,24.884984,5.84,M1IIIvar
HIP 35029,7.246117,-46.849672,5.72,A0p
28Ome CMa,7.246849,-26.772667,4.01,B2IV/Ve
HIP 35044,7.247546,-27.037996,5.58,K3III
HIP 35054,7.249209,-41.426394,5.95,B4III/IV
24    Mon,7.255391,-0.161283,6.42,G5III
HIP 35083,7.255854,-30.686447,5.36,B2V
HIP 35084,7.255901,-52.499226,5.96,K0V
HIP 35120,7.260953,7.977742,5.78,M4III
HIP 35127,7.262011,-10.583605,5.95,K0
HIP 35132,7.263138,-23.74028,6.34,A0V
HIP 35136,7.263925,47.239964,5.54,G0V
18    Lyn,7.265267,59.637467,5.2,K2III
53    Gem,7.26588,27.897419,5.75,M1III
HIP 35180,7.27071,-15.585689,5.46,A1V
HIP 35181,7.270965,-46.774533,5.64,K4III
HIP 35202,7.275515,-38.318928,5.81,B4V
HIP 35205,7.276387,-27.881179,4.66,M2III
HIP 35210,7.276898,-23.315594,4.83,K4III
HIP 35213,7.277322,-23.31094,6.02,A5m...
HIP 35226,7.280392,-36.592633,5.03,B3V
Del Vol,7.280508,-67.957152,3.97,F6II
HIP 35241,7.28256,-30.897012,6.3,A9II
HIP 35253,7.284277,26.689485,6.38,G7IV
Pi  Pup,7.285711,-37.09747,2.71,K3Ib
HIP 35301,7.292129,-6.679997,6.29,K2
HIP 35304,7.2927,52.131071,5.93,K1III:
HIP 35317,7.29518,38.876265,6.48,K0
HIP 35326,7.29667,-26.797556,6.45,B5Vn
64    Aur,7.300616,40.883392,5.87,A5Vn
HIP 35345,7.301136,30.955872,6.19,A0Vn
HIP 35347,7.301181,-43.986786,5.86,B8II/III
54Lam Gem,7.30155,16.540383,3.58,A3V...
HIP 35363,7.30511,-36.733962,4.65,B2V+...
HIP 35384,7.308883,49.464756,5.0,A4IIIn
HIP 35393,7.309309,-39.210285,5.24,A0V
HIP 35406,7.310607,-36.742735,5.11,A0V
29    CMa,7.311216,-24.558701,4.88,O7f
30Tau CMa,7.311802,-24.954375,4.37,O9Ib
HIP 35427,7.314243,-26.585854,5.29,G2II
HIP 35442,7.3172,-19.280304,6.06,F2Ia
HIP 35463,7.320469,-33.727166,6.31,K2/K3III
HIP 35476,7.322881,2.740694,5.9,G9III
HIP 35487,7.324494,-16.395244,5.7,F2III/IV
HIP 35509,7.329901,7.142947,5.91,F8V
HIP 35548,7.335234,15.142928,6.45,A2Vn
Wasat,7.335383,21.98232,3.5,F0IV...
HIP 35564,7.339288,-52.311524,5.5,F2
HIP 35589,7.344114,-52.085924,5.38,B9V
HIP 35611,7.348588,-26.963838,6.0,B3V
HIP 35615,7.349524,-14.360489,5.59,G8/K0III
HIP 35623,7.350862,42.655913,6.33,K0
HIP 35626,7.351204,-25.891643,5.87,M3III
HIP 35643,7.354864,45.2282,5.74,A7s
56    Gem,7.365795,20.443658,5.09,M0III
HIP 35707,7.367237,-8.979377,6.42,O9V
65    Aur,7.367397,36.760584,5.12,K0III
HIP 35712,7.367633,0.177121,5.99,B8III
HIP 35725,7.370392,38.995944,6.4,K0
HIP 35727,7.370425,-19.0166,4.94,B5II/III
47    Cam,7.37144,59.901996,6.36,A8m
HIP 35737,7.371831,-2.979175,6.23,F5
HIP 35749,7.373719,-5.982829,5.83,F3IV
HIP 35751,7.374533,0.700831,6.43,G5
19    Lyn,7.381127,55.281392,5.8,B8V
HIP 35795,7.383527,-31.923781,5.4,B3V
58    Gem,7.39115,22.945349,6.17,A1V
57    Gem,7.391254,25.050531,5.04,G8III
HIP 35848,7.391386,-27.834294,5.37,K4III
HIP 35855,7.392193,-32.202067,5.41,B2/B3II/III
HIP 35893,7.399538,-35.837824,6.32,B5V
