Name,RA,Dec,V-Mag
HIP 15558,3.340546,14.174646,9.07
HIP 15559,3.340776,-47.90865,8.43
HIP 15560,3.340782,24.5432,7.31
HIP 15561,3.34108,-24.114612,7.67
HIP 15562,3.341367,22.415727,13.63
HIP 15563,3.341443,8.454443,9.65
HIP 15564,3.342381,16.332988,9.22
HIP 15565,3.342696,12.346597,7.34
HIP 15566,3.342819,19.180395,8.28
HIP 15567,3.342969,61.260452,8.55
HIP 15568,3.342987,-65.785889,7.25
HIP 15569,3.343117,-36.147027,8.68
HIP 15570,3.34346,-36.775515,7.95
HIP 15572,3.343611,9.033552,8.46
HIP 15571,3.343755,-38.762005,10.02
HIP 15573,3.343784,-4.353547,8.93
HIP 15574,3.343878,-86.138312,8.73
HIP 15575,3.343969,26.927369,7.75
HIP 15576,3.344348,28.826505,8.43
HIP 15577,3.345076,35.276097,8.18
Intan,3.345183,-33.730104,9.92
HIP 15579,3.345244,-23.306196,8.73
HIP 15580,3.345387,-17.521381,8.06
HIP 15581,3.345435,-33.464884,11.49
HIP 15582,3.345717,-26.287801,6.92
HIP 15583,3.345724,-0.169405,8.14
HIP 15584,3.34578,58.855558,8.96
HIP 15585,3.345889,-26.606506,6.4
HIP 15586,3.346031,23.183969,8.48
HIP 15587,3.346243,-62.27448,10.0
HIP 15588,3.346246,18.737311,8.63
HIP 15589,3.346295,78.612182,9.0
HIP 15590,3.346371,-10.344128,9.72
HIP 15591,3.346887,43.978781,8.82
HIP 15592,3.346936,-4.324393,9.59
HIP 15593,3.347083,6.433231,9.61
HIP 15594,3.347183,-3.108344,7.9
HIP 15595,3.347315,67.756215,7.81
HIP 15596,3.347619,57.874665,7.75
HIP 15597,3.347629,20.509429,6.78
HIP 15598,3.347896,-7.482272,9.69
HIP 15599,3.348192,1.16492,8.55
HIP 15601,3.348201,38.88532,8.69
HIP 15600,3.348214,60.03035,8.37
HIP 15602,3.348293,68.457006,7.3
HIP 15603,3.348596,1.093917,10.32
HIP 15604,3.348872,66.910878,9.86
HIP 15605,3.34915,-8.964963,9.71
HIP 15606,3.349498,-33.556384,8.43
HIP 15607,3.349659,-37.449844,7.71
HIP 15608,3.349709,20.647039,8.7
HIP 15609,3.349842,33.218327,7.94
HIP 15610,3.350036,50.993111,9.46
HIP 15611,3.350232,8.451046,8.14
HIP 15612,3.350363,19.476262,7.96
HIP 15613,3.35038,-53.055378,8.7
HIP 15614,3.350676,-68.53336,7.03
HIP 15615,3.350915,73.699129,6.87
HIP 15616,3.351254,-26.1711,8.48
HIP 15617,3.351598,43.360553,9.17
HIP 15618,3.3518,-54.390448,8.94
97Kap2Cet,3.35189,3.67562,5.7
HIP 15620,3.352309,77.067388,7.82
HIP 15621,3.352355,-0.36956,8.18
HIP 15622,3.353172,-62.074154,7.91
HIP 15623,3.353198,59.167658,8.2
HIP 15624,3.353455,0.54755,8.07
HIP 15625,3.353468,13.784013,10.12
HIP 15626,3.353495,0.059106,8.29
61Tau1Ari,3.353784,21.147086,5.27
HIP 15628,3.353899,3.856869,8.9
HIP 15629,3.354743,38.716783,8.42
HIP 15630,3.354827,9.659873,7.71
HIP 15631,3.354891,-59.639823,8.3
HIP 15632,3.354954,51.576616,8.76
HIP 15633,3.355021,10.62979,8.42
HIP 15634,3.355292,61.999185,6.76
HIP 15635,3.355337,-29.987432,8.98
HIP 15636,3.355367,30.76616,8.79
HIP 15637,3.355499,30.277977,8.27
HIP 15638,3.355735,79.967257,11.21
HIP 15639,3.356048,52.507952,9.25
HIP 15640,3.356044,23.007761,9.81
HIP 15641,3.356384,-74.594256,8.04
HIP 15642,3.356615,-52.855127,8.43
HIP 15643,3.35667,-23.635135,5.5
HIP 15644,3.35675,-61.48808,7.86
HIP 15645,3.356894,-82.478033,8.19
HIP 15646,3.356934,76.024149,8.43
HIP 15647,3.356936,63.679329,9.62
32    Per,3.357381,43.329651,4.96
HIP 15649,3.357473,-15.797859,8.91
HIP 15650,3.357861,7.624535,10.49
HIP 15651,3.358265,21.438654,9.19
HIP 15652,3.358278,45.38705,7.41
HIP 15653,3.358329,-21.457437,9.21
HIP 15654,3.358397,48.493857,9.17
HIP 15655,3.359286,-47.776661,6.4
HIP 15656,3.359507,-73.452987,10.79
HIP 15657,3.360375,-46.295337,10.7
HIP 15658,3.360541,-10.85091,10.03
HIP 15659,3.361141,-7.498679,8.95
HIP 15661,3.361629,10.829897,9.67
HIP 15660,3.361647,-20.324651,6.69
HIP 15662,3.362054,13.431794,11.1
HIP 15663,3.362114,-9.360885,9.72
HIP 15664,3.362376,-31.113268,8.13
HIP 15665,3.362772,68.49995,9.27
HIP 15666,3.362889,52.731269,8.04
HIP 15667,3.364116,60.243769,11.79
HIP 15668,3.364243,11.309447,10.39
HIP 15669,3.364577,49.070905,5.94
HIP 15670,3.364822,5.699313,9.63
HIP 15671,3.364999,-5.10133,9.76
HIP 15672,3.365039,53.487546,8.84
HIP 15673,3.365242,52.331515,9.05
HIP 15674,3.365603,-35.415369,9.52
HIP 15675,3.365759,52.62191,7.68
HIP 15676,3.366138,-12.331493,8.34
HIP 15677,3.366338,-15.458721,7.26
HIP 15678,3.366664,-20.046342,8.83
HIP 15679,3.366716,51.103131,9.11
HIP 15680,3.367056,-22.099824,8.72
HIP 15681,3.367112,-68.475073,8.47
HIP 15682,3.367145,-9.650545,8.86
HIP 15683,3.367309,17.23997,10.9
HIP 15684,3.367654,47.934655,8.36
HIP 15685,3.367971,-36.628411,9.19
HIP 15686,3.368023,62.741376,7.63
HIP 15687,3.368077,4.210598,7.47
HIP 15688,3.368116,44.661559,9.44
HIP 15689,3.368196,-13.278847,12.16
HIP 15690,3.368424,-13.273122,8.83
HIP 15691,3.368739,62.738745,10.4
HIP 15692,3.369265,-46.763361,6.9
HIP 15693,3.369349,34.502188,8.96
HIP 15694,3.369803,-5.1377,7.81
HIP 15695,3.369897,-58.698306,7.66
62    Ari,3.36997,27.607553,5.55
HIP 15697,3.370013,42.822138,7.36
HIP 15698,3.37028,65.315046,8.53
HIP 15699,3.370875,-5.745808,8.7
HIP 15700,3.37119,-25.587802,6.36
HIP 15701,3.371191,-63.557591,8.91
HIP 15702,3.371227,-21.100138,6.73
HIP 15703,3.371319,-41.315466,8.55
HIP 15704,3.371764,31.414261,7.5
HIP 15705,3.371844,-75.180602,9.3
HIP 15706,3.372032,-40.272344,8.23
HIP 15707,3.372399,62.729685,7.78
HIP 15708,3.372512,1.77268,10.27
HIP 15709,3.372668,-32.994444,9.2
HIP 15710,3.372952,31.60913,9.08
HIP 15711,3.373135,3.447254,10.28
HIP 15712,3.373333,44.663547,9.09
HIP 15713,3.373476,28.355903,10.51
HIP 15714,3.373484,-43.526217,10.0
HIP 15715,3.373705,-59.703835,7.63
HIP 15716,3.373882,39.598249,9.56
HIP 15717,3.373966,51.66098,9.13
HIP 15718,3.373975,-34.640881,8.91
HIP 15719,3.374164,-65.781648,7.76
HIP 15720,3.374478,27.156054,11.03
HIP 15721,3.375308,32.239862,7.4
HIP 15722,3.375365,70.628212,10.14
HIP 15723,3.375445,22.809941,8.65
HIP 15724,3.375715,17.725354,8.83
HIP 15725,3.376488,-30.188573,9.28
HIP 15726,3.376568,41.331987,11.57
HIP 15727,3.376575,-11.700794,8.64
HIP 15728,3.377198,-0.528454,9.69
HIP 15729,3.377274,-44.131829,8.51
HIP 15730,3.377563,-69.312493,8.67
HIP 15731,3.377703,41.92628,8.15
HIP 15732,3.378381,2.468616,8.86
HIP 15733,3.378441,-38.459015,8.4
HIP 15734,3.378606,-22.961838,9.68
HIP 15735,3.378905,72.065661,9.15
HIP 15736,3.379066,-27.238258,8.22
63Tau2Ari,3.379234,20.742069,5.1
HIP 15738,3.379713,6.799541,10.76
HIP 15739,3.37976,-43.34202,10.49
HIP 15740,3.38002,37.019631,9.22
HIP 15741,3.380091,-54.449685,8.73
HIP 15742,3.380442,60.030847,8.4
HIP 15743,3.38089,-2.059146,9.02
HIP 15744,3.38106,29.818407,8.53
HIP 15745,3.381198,-65.55681,8.76
HIP 15746,3.381278,29.817808,8.68
HIP 15747,3.381306,-51.312251,7.91
HIP 15748,3.381815,-27.301826,7.99
HIP 15749,3.381861,-71.682453,9.52
HIP 15750,3.381877,37.660106,8.22
HIP 15751,3.381929,-7.070023,9.59
HIP 15752,3.382244,-41.255903,7.75
HIP 15753,3.382514,44.966306,8.12
HIP 15754,3.382702,71.280475,7.59
HIP 15755,3.382706,66.199438,9.56
HIP 15756,3.383818,-49.351169,10.9
HIP 15757,3.384146,-51.554755,8.17
HIP 15758,3.384481,-56.880739,8.98
HIP 15759,3.384571,-9.107724,9.27
HIP 15760,3.384702,26.900933,7.23
HIP 15761,3.384759,32.867581,8.58
HIP 15762,3.384787,-54.015584,9.21
HIP 15763,3.384885,55.230047,7.64
HIP 15764,3.385244,-29.365311,9.02
HIP 15765,3.385785,67.167216,9.0
HIP 15766,3.386472,21.568018,9.28
HIP 15767,3.386702,33.078386,7.96
HIP 15768,3.386705,-44.231634,8.39
HIP 15769,3.386776,-26.116253,8.0
HIP 15770,3.386997,49.213269,5.32
HIP 15771,3.387724,-49.994134,10.24
HIP 15773,3.387776,-55.948139,9.14
HIP 15772,3.387813,-11.347055,7.57
HIP 15774,3.388083,-49.991931,8.58
HIP 15775,3.388148,-17.439481,6.7
HIP 15776,3.38825,-7.794098,6.2
HIP 15777,3.388591,16.565733,7.86
HIP 15778,3.388747,61.286193,7.96
HIP 15779,3.388983,2.84897,8.62
HIP 15780,3.389481,-58.833207,7.98
HIP 15781,3.389978,30.983978,7.38
HIP 15782,3.39002,-75.282898,8.47
HIP 15783,3.390114,-41.364099,8.6
HIP 15784,3.390292,-14.875966,7.61
HIP 15785,3.390719,56.126509,8.1
HIP 15786,3.391006,-14.220747,7.8
HIP 15787,3.391243,33.332029,7.62
HIP 15788,3.391447,-16.272817,8.97
HIP 15789,3.391657,30.439066,8.37
HIP 15790,3.391698,52.148493,8.73
HIP 15791,3.391833,41.206928,7.81
HIP 15792,3.391895,82.149869,7.01
HIP 15793,3.391937,-38.377754,8.67
HIP 15794,3.392391,27.401928,8.29
HIP 15795,3.392445,58.722021,6.58
HIP 15796,3.392528,71.418542,7.95
HIP 15797,3.392628,43.957285,8.98
HIP 15798,3.393086,50.664556,8.95
HIP 15799,3.393126,-40.076389,6.9
HIP 15800,3.393418,0.910087,6.47
HIP 15801,3.393431,-58.994133,7.91
HIP 15802,3.393492,-10.2108,10.13
HIP 15803,3.393526,-81.259088,11.96
HIP 15804,3.393594,32.994649,7.87
HIP 15805,3.393666,15.667888,9.72
HIP 15806,3.393822,-6.0102,9.29
HIP 15807,3.394164,4.882105,6.37
HIP 15808,3.39432,18.555759,8.94
HIP 15809,3.39436,-27.930002,7.4
HIP 15810,3.394378,8.838911,10.67
HIP 15811,3.394554,46.576621,10.53
HIP 15812,3.394763,-3.498927,9.54
HIP 15813,3.395023,-41.76222,9.38
HIP 15814,3.39532,51.770362,7.89
HIP 15815,3.395634,-29.127196,8.5
HIP 15816,3.395727,-32.707089,6.51
HIP 15817,3.396289,-32.065178,9.4
HIP 15818,3.396413,58.46946,7.82
HIP 15819,3.396478,48.604417,7.0
HIP 15820,3.39701,-66.914144,9.43
HIP 15821,3.397835,54.241926,9.24
HIP 15822,3.397848,13.837254,8.69
HIP 15823,3.397925,16.721356,8.49
HIP 15825,3.398222,-29.01992,9.46
HIP 15824,3.398245,-79.355331,9.8
HIP 15826,3.398287,-10.866548,8.65
HIP 15827,3.398342,0.550268,10.51
HIP 15828,3.398368,-25.237226,8.85
HIP 15829,3.398512,-2.459767,9.06
HIP 15830,3.398568,3.043555,8.19
HIP 15831,3.398765,41.337038,8.04
HIP 15832,3.399065,45.525603,8.42
HIP 15833,3.399246,-26.216196,8.14
HIP 15834,3.399673,-26.216626,8.86
HIP 15835,3.399782,-30.542886,8.6
HIP 15836,3.399849,-37.170326,7.65
HIP 15837,3.399891,10.461674,10.41
HIP 15838,3.400252,19.907062,6.83
HIP 15839,3.400572,-37.283287,8.85
HIP 15840,3.400636,-69.624606,6.14
HIP 15841,3.400992,13.054988,10.99
HIP 15842,3.401072,-26.036682,7.85
HIP 15843,3.401167,74.17099,6.93
HIP 15844,3.401797,23.785027,10.38
HIP 15845,3.401769,-41.231884,7.2
HIP 15846,3.401856,68.771538,10.81
HIP 15847,3.402173,-20.931353,7.14
HIP 15848,3.402649,-15.171652,9.21
HIP 15849,3.402773,35.762212,9.16
HIP 15850,3.402814,12.62959,6.03
HIP 15851,3.403263,70.262117,8.75
HIP 15852,3.403654,67.456564,9.1
HIP 15853,3.40394,61.53857,8.38
HIP 15854,3.403977,17.549586,8.1
HIP 15855,3.404141,67.455171,7.74
HIP 15856,3.404209,0.244655,9.15
HIP 15857,3.40428,11.860996,8.84
HIP 15858,3.404302,1.356664,8.42
HIP 15859,3.404506,-24.300724,7.09
HIP 15860,3.404783,-45.096754,7.83
64    Ari,3.405132,24.724063,5.5
HIP 15862,3.405326,49.221255,9.0
33Alp Per,3.405378,49.86118,1.79
HIP 15864,3.405955,-8.90813,9.49
HIP 15865,3.405999,-18.473444,8.44
HIP 15866,3.406531,-31.126747,7.35
HIP 15867,3.406531,-57.551109,7.44
HIP 15868,3.406869,-15.653839,7.51
HIP 15869,3.406837,-13.992951,6.87
65    Ari,3.407255,20.803489,6.07
HIP 15871,3.407357,40.043845,7.36
HIP 15872,3.4075,3.864542,9.48
HIP 15873,3.407747,-6.1444,9.38
HIP 15874,3.407897,-45.853538,8.17
HIP 15875,3.407948,6.985016,10.28
HIP 15876,3.408249,33.535962,5.78
HIP 15877,3.408288,34.286101,8.65
HIP 15878,3.408341,49.139905,7.88
HIP 15880,3.40906,-3.535031,8.28
HIP 15879,3.409078,-61.825312,9.21
HIP 15881,3.409467,-46.85047,9.24
HIP 15882,3.409578,22.040317,6.91
HIP 15883,3.409596,-45.663875,7.05
HIP 15884,3.410057,-51.062657,6.5
HIP 15885,3.410081,27.941843,8.6
HIP 15886,3.410268,-76.746289,6.8
HIP 15887,3.410466,44.154966,9.24
HIP 15888,3.410487,-44.698396,8.57
HIP 15889,3.410901,31.407611,8.93
HIP 15890,3.411267,64.585996,5.13
HIP 15891,3.411602,-50.005922,8.51
HIP 15892,3.411792,53.17257,9.28
HIP 15893,3.411902,-63.038295,8.94
HIP 15894,3.412399,14.973836,8.18
HIP 15895,3.412473,40.76086,7.87
HIP 15896,3.412588,64.689474,10.4
HIP 15897,3.41285,9.807862,7.78
HIP 15898,3.413079,48.411661,9.91
HIP 15899,3.413505,65.457929,8.77
1Omi Tau,3.413554,9.02887,3.61
HIP 15902,3.413604,28.652546,7.12
HIP 15901,3.413603,75.775617,9.24
HIP 15903,3.41377,54.07588,9.1
HIP 15904,3.413987,12.256581,10.76
HIP 15905,3.414007,-12.84299,9.39
HIP 15906,3.414285,14.014879,9.68
HIP 15907,3.414295,-25.750443,8.35
HIP 15908,3.414354,22.278198,8.92
HIP 15909,3.41457,-50.951782,10.69
HIP 15910,3.41463,-68.33455,8.48
HIP 15911,3.415309,47.415019,9.74
HIP 15912,3.415317,-62.562935,8.16
HIP 15913,3.415396,-36.211406,9.29
HIP 15914,3.415505,1.976301,8.35
HIP 15915,3.415677,-13.561586,9.23
HIP 15916,3.416103,-12.00769,9.31
HIP 15917,3.416243,-46.467613,9.79
HIP 15918,3.416485,10.010043,7.96
HIP 15919,3.416592,-5.363756,7.86
HIP 15920,3.416839,-14.116071,7.86
HIP 15921,3.416936,-47.935082,8.37
HIP 15922,3.417943,10.976461,7.29
HIP 15923,3.418574,7.393446,9.44
HIP 15924,3.419172,-65.005302,8.46
HIP 15926,3.419259,-12.35522,8.73
HIP 15925,3.419274,41.257301,6.52
HIP 15927,3.419347,-4.478203,7.22
HIP 15928,3.41961,12.485374,7.42
HIP 15929,3.419622,-6.735686,8.44
HIP 15930,3.419888,-29.843088,7.26
HIP 15931,3.420028,-78.666211,8.54
HIP 15932,3.420191,-21.072638,7.85
HIP 15933,3.420224,-37.152688,7.16
HIP 15934,3.420285,42.123126,9.43
HIP 15935,3.42028,39.051422,9.31
HIP 15936,3.420291,9.691205,8.75
HIP 15937,3.420379,32.379448,8.44
HIP 15938,3.420387,4.873626,10.79
HIP 15939,3.420561,21.214068,7.95
HIP 15940,3.420846,-15.039234,7.98
HIP 15941,3.421184,60.483711,7.96
HIP 15942,3.42145,37.91871,8.03
HIP 15943,3.421731,58.694537,6.85
HIP 15944,3.422089,40.95333,7.24
HIP 15945,3.422127,56.840394,9.46
HIP 15946,3.422309,-4.655254,6.99
HIP 15947,3.422327,-45.271063,8.35
HIP 15948,3.42243,3.281809,8.74
HIP 15949,3.422805,36.017429,9.1
HIP 15950,3.422959,50.794274,10.38
HIP 15951,3.423161,15.826375,7.91
HIP 15952,3.423232,-24.577846,9.1
HIP 15953,3.423311,31.731096,7.31
HIP 15954,3.423396,17.743809,8.69
HIP 15955,3.423568,-1.157747,10.12
HIP 15956,3.423584,-1.153002,9.05
HIP 15957,3.423592,-52.381652,7.8
HIP 15958,3.423683,25.952204,9.36
HIP 15959,3.424068,71.684742,7.62
HIP 15960,3.424158,8.427144,9.5
HIP 15961,3.425263,17.142616,9.43
HIP 15962,3.42532,-6.695587,9.54
HIP 15963,3.426204,-17.698444,8.96
HIP 15964,3.426361,-38.312584,7.85
HIP 15965,3.426417,-30.551242,9.54
HIP 15966,3.426546,-39.087326,9.3
HIP 15967,3.426647,-20.33432,10.35
HIP 15968,3.426737,-69.336436,5.96
HIP 15969,3.426801,-27.272489,7.4
HIP 15970,3.42686,47.02356,10.09
HIP 15971,3.427126,47.020655,8.92
HIP 15972,3.42714,45.515561,7.5
HIP 15973,3.427674,-42.986676,11.26
HIP 15974,3.42781,-85.946217,9.18
HIP 15975,3.428292,13.621355,8.65
HIP 15976,3.428764,52.752213,8.25
HIP 15977,3.428884,2.033493,9.46
HIP 15978,3.428963,5.935435,7.65
HIP 15979,3.429966,53.921522,6.51
HIP 15980,3.429993,25.871009,8.47
HIP 15981,3.429992,59.432462,8.04
HIP 15982,3.430031,52.3493,9.04
HIP 15983,3.430488,73.207437,7.06
HIP 15984,3.430583,30.931706,9.21
HIP 15985,3.431339,38.242814,7.91
HIP 15986,3.432124,53.32272,7.46
Chi1For,3.432177,-35.920885,6.39
HIP 15988,3.432604,49.120757,6.09
HIP 15989,3.432679,-22.063611,8.41
HIP 15990,3.432754,-50.802468,8.5
HIP 15991,3.433328,-9.441266,9.52
HIP 15992,3.433628,45.60023,9.13
HIP 15993,3.433711,8.269976,9.44
HIP 15994,3.433799,-76.616207,9.03
HIP 15995,3.434179,-3.368056,9.64
HIP 15996,3.434253,20.245565,8.54
HIP 15997,3.43441,42.880868,8.91
HIP 15998,3.434505,45.457908,10.17
HIP 15999,3.434507,45.299546,7.92
HIP 16000,3.434526,-0.643842,8.56
HIP 16001,3.434575,49.745585,7.12
HIP 16002,3.434633,-18.440606,8.2
HIP 16003,3.434685,5.535573,8.78
HIP 16004,3.434783,42.59328,9.06
HIP 16005,3.435396,-31.661232,9.01
HIP 16006,3.435457,-22.160858,9.09
HIP 16008,3.435769,12.481788,8.46
HIP 16007,3.435783,14.290266,10.1
HIP 16010,3.436298,-22.900638,9.86
HIP 16009,3.436314,-48.742689,9.77
HIP 16011,3.436346,48.384042,7.5
HIP 16012,3.436416,-30.61781,7.88
HIP 16013,3.436481,-59.28483,8.88
HIP 16014,3.436564,-33.782705,8.96
HIP 16015,3.436606,-41.63694,6.33
HIP 16016,3.436652,-4.371757,8.64
HIP 16017,3.436852,-43.816667,8.71
HIP 16018,3.437548,-18.889905,9.12
HIP 16019,3.437801,56.141736,7.55
HIP 16020,3.438078,39.067358,8.63
HIP 16021,3.438148,-1.035079,8.68
HIP 16022,3.438581,-67.616195,8.94
HIP 16023,3.438901,-2.142751,9.1
HIP 16024,3.438949,-54.893205,8.29
HIP 16025,3.439175,35.340575,8.47
HIP 16026,3.439429,-59.298707,8.97
HIP 16027,3.439489,-42.836334,7.81
HIP 16028,3.439591,37.013193,8.12
HIP 16029,3.43959,-27.317479,5.93
HIP 16030,3.44004,-15.363209,7.59
HIP 16031,3.440226,-14.142836,9.62
HIP 16032,3.440635,2.169754,8.24
HIP 16033,3.441664,-35.597852,9.36
HIP 16034,3.441864,31.821578,8.12
HIP 16035,3.442317,-26.985994,9.0
HIP 16036,3.442403,47.266424,8.17
HIP 16037,3.442515,-40.569748,8.42
HIP 16038,3.442691,-43.613568,9.17
HIP 16039,3.442774,-53.161584,9.71
HIP 16040,3.442851,60.281504,7.45
HIP 16041,3.443,63.195146,7.27
HIP 16042,3.443163,28.715087,6.47
HIP 16043,3.443298,57.409716,8.4
HIP 16045,3.443335,-1.104148,10.42
HIP 16044,3.443339,-5.466796,9.17
HIP 16046,3.443673,64.249131,9.47
HIP 16047,3.44429,50.846499,7.64
HIP 16048,3.444577,72.206026,7.13
HIP 16049,3.444688,-50.642511,9.23
HIP 16050,3.445306,6.659718,9.62
HIP 16051,3.445337,-62.824635,8.52
HIP 16052,3.445575,51.7107,8.35
HIP 16053,3.445616,-28.560915,7.48
HIP 16054,3.445678,-9.519059,9.29
HIP 16055,3.445886,-55.467523,9.01
HIP 16056,3.446495,-2.386552,9.66
HIP 16057,3.446842,60.405029,7.56
HIP 16058,3.447011,0.026175,7.05
HIP 16059,3.447798,-73.133076,8.22
HIP 16060,3.44805,66.210978,7.18
HIP 16061,3.448253,43.655717,7.3
HIP 16062,3.448264,-16.865259,10.07
HIP 16063,3.448437,-23.731944,11.27
HIP 16064,3.448714,-23.726184,11.13
HIP 16065,3.448717,-7.98236,7.66
HIP 16066,3.44897,3.464541,8.68
HIP 16067,3.449378,-22.083309,10.25
HIP 16068,3.449422,-63.504708,9.79
HIP 16069,3.449713,-63.499101,8.08
HIP 16070,3.449815,-53.564043,9.06
HIP 16071,3.449832,24.823703,8.0
HIP 16072,3.449933,23.77665,10.81
HIP 16073,3.450324,-30.463901,8.51
HIP 16074,3.450411,24.327103,10.27
HIP 16075,3.450641,34.429504,6.76
HIP 16076,3.450856,2.999424,10.93
HIP 16077,3.450894,18.756554,6.54
HIP 16079,3.451434,48.205509,6.85
HIP 16078,3.451438,-37.888196,9.82
HIP 16080,3.451662,-37.890553,8.12
HIP 16081,3.451854,63.816292,8.83
HIP 16082,3.451883,-56.427513,9.27
2Xi  Tau,3.45282,9.73268,3.73
HIP 16084,3.453396,-48.862564,7.68
HIP 16085,3.453431,-58.323683,7.95
HIP 16086,3.453846,2.280174,7.4
HIP 16087,3.453882,-50.462548,8.85
HIP 16088,3.453921,50.878854,10.2
HIP 16089,3.453939,-26.909492,8.77
HIP 16090,3.453987,27.385743,11.78
HIP 16091,3.454499,62.025361,9.88
HIP 16092,3.454649,-61.259146,7.89
HIP 16093,3.454951,-46.967177,9.16
HIP 16095,3.455188,12.735289,6.29
HIP 16094,3.455201,-36.261824,9.65
HIP 16096,3.455854,9.256145,9.82
HIP 16097,3.456038,-41.220851,9.26
HIP 16098,3.456463,-64.649185,8.49
HIP 16099,3.456643,-64.330933,9.02
HIP 16100,3.456806,56.886731,9.52
HIP 16101,3.457042,-51.796952,9.17
HIP 16102,3.457253,38.042332,7.69
HIP 16103,3.457343,59.195595,7.9
HIP 16104,3.457474,38.577906,8.84
HIP 16105,3.457558,-57.138335,9.02
HIP 16106,3.457594,-27.746816,8.6
HIP 16107,3.458164,34.806623,8.18
HIP 16108,3.458876,5.870437,7.19
HIP 16109,3.458898,19.187133,9.17
HIP 16110,3.458978,-16.565155,10.15
HIP 16111,3.459234,-15.21044,9.23
Chi2For,3.459281,-35.681323,5.71
HIP 16113,3.459698,-39.880567,7.1
HIP 16114,3.460012,-54.8657,10.77
HIP 16115,3.460298,-73.439565,8.32
HIP 16116,3.460443,7.750471,7.6
HIP 16117,3.460585,16.662985,8.08
HIP 16118,3.460823,49.599917,6.93
HIP 16119,3.460948,22.897808,10.97
HIP 16120,3.461073,8.765202,7.8
HIP 16121,3.461071,-39.833326,7.72
HIP 16122,3.461139,4.989303,10.6
HIP 16123,3.461284,-8.431039,9.74
HIP 16124,3.46149,-14.36658,7.22
HIP 16125,3.461532,-32.241745,9.09
HIP 16126,3.461776,44.1768,9.15
HIP 16127,3.461825,-27.41186,9.14
HIP 16128,3.462159,-43.855886,6.73
HIP 16129,3.462539,83.528316,7.31
HIP 16130,3.462878,-21.397414,9.88
HIP 16131,3.46305,-84.715576,8.05
HIP 16132,3.463775,24.182753,7.85
HIP 16133,3.464228,20.925159,7.85
HIP 16134,3.464552,-19.804482,8.39
HIP 16135,3.464784,46.240468,10.17
HIP 16136,3.465362,18.882333,8.46
HIP 16137,3.465493,47.735932,7.27
HIP 16138,3.466001,55.727355,9.27
HIP 16139,3.466125,-8.538503,9.66
HIP 16140,3.466233,-77.613255,7.41
HIP 16141,3.466297,-45.561161,7.89
HIP 16142,3.46693,-11.2866,5.74
HIP 16143,3.467055,20.464261,6.72
HIP 16144,3.467307,22.023077,11.41
HIP 16145,3.467292,41.67367,9.12
HIP 16146,3.467479,44.390153,8.11
HIP 16147,3.467517,49.062866,4.99
HIP 16148,3.467533,78.478802,7.76
HIP 16149,3.468658,50.94035,8.15
HIP 16150,3.469013,17.162702,11.76
HIP 16151,3.469103,-2.479651,8.07
HIP 16152,3.469208,17.167525,8.33
HIP 16153,3.469311,-12.753998,7.39
HIP 16154,3.469557,32.811503,7.52
HIP 16155,3.469707,4.15209,8.69
Chi3For,3.469867,-35.853426,6.49
HIP 16157,3.470126,-29.427733,9.16
HIP 16158,3.470287,7.30222,8.0
HIP 16159,3.470403,-13.394921,10.5
HIP 16160,3.470503,-41.03067,9.29
HIP 16161,3.47078,31.914077,9.08
HIP 16162,3.471119,-73.54969,8.16
HIP 16163,3.471464,-57.882229,6.69
HIP 16164,3.471499,29.868646,9.65
HIP 16165,3.471729,44.377236,6.52
HIP 16166,3.47185,-37.4473,9.32
HIP 16167,3.472232,-36.013106,8.03
HIP 16168,3.472416,33.807557,5.72
HIP 16169,3.472523,-6.530923,8.23
HIP 16170,3.472472,29.79924,9.16
HIP 16171,3.472578,26.270634,7.53
HIP 16172,3.472765,-4.56252,8.13
HIP 16173,3.472882,78.72406,10.42
HIP 16174,3.47293,22.059076,8.59
HIP 16175,3.472947,34.731619,9.07
HIP 16176,3.472991,16.081299,11.14
HIP 16177,3.473216,60.255672,6.49
HIP 16178,3.473452,5.985873,9.68
HIP 16179,3.473682,74.951846,8.42
HIP 16180,3.474044,-26.610767,9.03
66    Ari,3.474046,22.804006,6.03
HIP 16182,3.474299,-13.209295,7.15
HIP 16183,3.474737,59.906647,7.51
HIP 16184,3.474844,-41.205063,9.26
HIP 16185,3.474854,57.67166,8.69
HIP 16186,3.475053,40.171026,7.04
HIP 16187,3.475214,-25.700031,8.73
HIP 16188,3.475867,43.75359,7.21
HIP 16189,3.475933,-41.608483,8.99
HIP 16190,3.47608,-80.709009,7.77
HIP 16191,3.476538,87.394696,9.14
HIP 16192,3.476637,-30.567723,10.29
HIP 16193,3.476761,11.390529,6.74
HIP 16194,3.477432,-61.18953,8.33
HIP 16195,3.477554,62.492999,8.31
HIP 16197,3.477891,-18.37671,8.56
HIP 16196,3.477895,50.436436,7.61
HIP 16198,3.478011,-3.214837,8.74
HIP 16199,3.478082,47.372342,8.09
HIP 16200,3.478477,43.848185,9.4
HIP 16201,3.478621,4.357108,7.68
HIP 16202,3.478704,-33.207504,9.11
HIP 16203,3.479625,30.375343,7.06
HIP 16204,3.479695,-59.976697,9.34
HIP 16205,3.480046,20.624079,7.33
HIP 16206,3.480281,35.80747,7.14
HIP 16207,3.480289,-10.170016,8.3
HIP 16208,3.480414,-83.384805,9.66
