Name,RA,Dec,V-Mag
HIP 156,0.033127,63.357826,8.6
HIP 157,0.033362,-5.213925,8.51
HIP 158,0.033384,-37.901878,7.09
HIP 159,0.03406,-2.766171,6.93
HIP 160,0.034117,-69.269198,8.68
HIP 161,0.034162,33.695958,8.98
HIP 162,0.034224,27.118603,9.84
HIP 163,0.034479,-30.685228,8.98
HIP 164,0.03459,59.940102,7.98
HIP 165,0.034649,-22.327486,10.16
HIP 166,0.034761,-56.514931,8.86
HIP 167,0.035188,39.183203,8.58
HIP 168,0.035562,-2.820072,9.56
HIP 169,0.035702,-68.280769,9.24
HIP 170,0.03584,-20.871662,9.63
85    Peg,0.036139,27.082256,5.8
HIP 172,0.036192,67.408952,9.05
HIP 173,0.036639,47.577206,8.45
HIP 174,0.036774,59.965338,8.86
HIP 175,0.036828,49.771086,7.84
HIP 176,0.036892,44.428262,8.86
HIP 177,0.037348,-11.964352,8.93
HIP 178,0.037869,-27.135153,7.97
HIP 179,0.037966,-13.407437,6.9
HIP 180,0.038061,-9.174928,8.47
HIP 181,0.038253,60.703168,6.77
HIP 182,0.038746,52.586407,8.55
Zet Scl,0.038867,-29.720414,5.04
HIP 184,0.039318,11.006236,8.48
HIP 185,0.039336,10.785363,8.53
31    Psc,0.040046,8.956824,6.33
HIP 187,0.040152,-6.05927,8.99
HIP 188,0.040179,6.333013,8.64
HIP 189,0.04035,54.135139,9.55
HIP 190,0.040362,10.776364,8.74
HIP 191,0.04085,-46.028896,12.43
HIP 192,0.041322,8.393859,8.16
HIP 193,0.041447,-39.212591,9.46
32    Psc,0.041584,8.485463,5.7
HIP 195,0.041718,47.42289,7.62
HIP 196,0.0418,51.829976,8.95
HIP 197,0.042154,42.147779,8.97
HIP 198,0.042183,15.335173,8.94
HIP 199,0.042334,16.256565,7.24
HIP 200,0.042366,-33.992633,10.32
HIP 201,0.042619,18.683407,8.24
HIP 202,0.042783,54.552139,8.62
HIP 203,0.042819,-15.831251,9.18
HIP 204,0.043012,-43.947929,8.53
HIP 205,0.043043,-5.186651,8.54
HIP 206,0.04312,18.836044,8.56
HIP 208,0.043332,-67.634287,9.41
HIP 207,0.043357,66.098966,5.87
HIP 209,0.044012,66.100399,7.2
HIP 210,0.044143,-8.487955,9.05
HIP 211,0.044214,-37.947721,9.52
HIP 212,0.044233,-29.075247,10.24
HIP 213,0.044464,51.472401,7.7
HIP 214,0.044611,28.542221,8.17
HIP 217,0.044959,82.973202,7.29
HIP 215,0.044967,75.036211,9.26
HIP 216,0.045126,42.920649,7.94
HIP 218,0.045312,-57.63367,8.42
HIP 219,0.04602,6.0344,8.56
HIP 220,0.046118,35.815467,7.52
HIP 221,0.046222,80.282283,7.74
HIP 222,0.046298,-40.983229,8.85
HIP 224,0.046417,3.860416,9.01
HIP 223,0.046437,2.130155,7.17
HIP 225,0.046674,-15.040543,9.04
HIP 226,0.046696,-24.945298,10.3
HIP 227,0.046952,80.286579,9.86
HIP 228,0.04735,28.251905,7.64
HIP 229,0.047599,47.252268,8.27
HIP 230,0.047724,30.336542,8.44
HIP 231,0.04824,-58.781398,9.58
HIP 232,0.048674,-30.149773,8.43
HIP 233,0.048797,71.358516,8.49
HIP 234,0.048906,70.238,9.64
HIP 235,0.049098,71.36803,9.17
HIP 236,0.049191,-0.893874,8.09
HIP 237,0.049284,-39.527412,9.0
HIP 238,0.049301,-20.045882,6.25
HIP 239,0.049546,3.381932,8.56
HIP 240,0.049582,9.795231,10.81
HIP 241,0.050135,9.138279,8.76
HIP 242,0.050148,-34.743939,7.76
HIP 243,0.050224,-60.691901,7.82
HIP 244,0.050591,39.995144,7.9
HIP 245,0.050916,-7.815517,8.52
HIP 246,0.050941,56.733298,9.73
HIP 247,0.051029,8.261293,9.19
HIP 248,0.051044,8.270683,8.1
HIP 249,0.051615,31.870083,8.75
HIP 250,0.05162,52.465128,8.14
HIP 251,0.051689,-25.261114,8.65
HIP 252,0.051975,29.485979,10.3
HIP 253,0.052181,-24.145145,6.46
HIP 254,0.052317,42.747908,6.73
HIP 255,0.052977,-24.588258,7.96
HIP 256,0.053107,54.515774,9.53
HIP 257,0.053537,-31.212384,8.87
HIP 258,0.053698,17.552268,6.59
HIP 259,0.053727,48.722294,8.65
HIP 260,0.054478,-55.40507,9.64
HIP 261,0.054702,-23.615434,9.15
HIP 262,0.055061,32.845864,9.04
HIP 263,0.055279,4.686928,12.04
HIP 264,0.055472,38.244012,8.42
HIP 266,0.055689,-11.945367,8.09
HIP 265,0.055692,-64.476095,9.06
HIP 267,0.05569,-4.145757,8.09
HIP 268,0.05612,59.078605,8.18
HIP 269,0.056135,23.575034,8.77
HIP 270,0.056667,73.174497,7.36
HIP 271,0.056855,-35.965164,9.16
HIP 272,0.057037,-26.415185,8.82
HIP 273,0.057124,-46.830972,11.14
HIP 274,0.057143,63.64052,6.24
HIP 275,0.057174,-29.000663,9.44
HIP 276,0.057203,20.66553,7.49
HIP 277,0.057297,-36.251193,6.96
HIP 278,0.057541,55.5509,7.94
HIP 279,0.057585,62.357806,8.69
HIP 280,0.057749,53.312689,8.15
HIP 281,0.058413,55.059961,8.45
HIP 282,0.058428,19.381496,7.92
HIP 283,0.058475,12.356821,7.45
HIP 284,0.05856,-65.827505,9.01
HIP 285,0.058721,-35.60223,8.55
HIP 286,0.058756,78.717826,9.23
HIP 287,0.059057,-13.227292,9.16
HIP 288,0.059267,42.352106,7.9
HIP 289,0.060158,-51.8091,8.68
HIP 290,0.060289,-31.094137,7.78
HIP 291,0.060305,-28.417137,8.21
HIP 292,0.060582,70.306028,8.11
HIP 293,0.061064,-57.164462,8.29
HIP 294,0.06114,3.906973,7.89
HIP 295,0.061246,-41.095885,9.67
HIP 296,0.061517,-28.396196,8.24
HIP 297,0.061626,48.436907,6.8
HIP 298,0.061801,13.365166,8.18
HIP 299,0.06225,-63.600667,8.44
2    Cet,0.06233,-17.335988,4.55
HIP 300,0.06234,42.023522,7.45
HIP 302,0.064342,66.712183,6.31
HIP 303,0.064616,57.378277,8.15
HIP 304,0.064653,22.296047,8.27
HIP 305,0.064819,-28.393812,7.66
HIP 306,0.065007,-57.8305,8.59
HIP 307,0.065329,-42.559484,11.55
HIP 308,0.065582,14.378864,7.09
HIP 309,0.065729,-45.288616,8.54
HIP 310,0.065845,-43.191813,9.58
HIP 311,0.065842,36.970256,8.44
HIP 312,0.065973,61.103636,8.59
HIP 313,0.066077,-48.125185,8.01
HIP 314,0.06611,20.953729,8.29
HIP 315,0.066148,-71.278716,9.62
HIP 316,0.066736,12.145797,7.26
HIP 317,0.066844,-80.395115,7.91
HIP 318,0.06731,-38.594754,9.45
HIP 319,0.067721,62.22195,8.19
HIP 320,0.06809,-16.997642,12.14
