Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
NGC5272;GCl;13:42:11.23;+28:22:31.6;CVn;16.20;;;;6.39;;;;;;0.0245;-0.140;-2.640;-147;-0.000491;;;;003;;;;MWSC 2152;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|V-Mag:3|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC5457;G;14:03:12.54;+54:20:56.2;UMa;23.99;23.07;28;8.36;7.90;6.52;5.81;5.51;23.97;SABc;;;;243;0.000811;;;;101;;;;IRAS 14013+5435,MCG +09-23-028,PGC 050063,SDSS J140312.52+542056.2,UGC 08981;;"M102 may be a duplicate obs. of M101; see Sawyer, JRASC 41, Nos 7&8, 1947.";;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
NGC5904;GCl;15:18:33.75;+02:04:57.7;Se1;15.00;;;7.34;5.95;;;;;;0.1139;4.060;-9.890;54;0.000179;;;;005;;;;MWSC 2286;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC6093;GCl;16:17:02.51;-22:58:30.4;Sco;5.70;;;;7.30;;;;;;0.0501;-2.930;-5.590;11;0.000036;;;;080;;;;MWSC 2376;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|V-Mag:3|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC6121;GCl;16:23:35.40;-26:31:31.9;Sco;28.20;;;;5.40;;;;;;0.4995;-12.480;-18.990;71;0.000237;;;;004;;;;MWSC 2396;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|V-Mag:3|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC6171;GCl;16:32:31.92;-13:03:13.1;Oph;7.80;;;9.96;8.85;;;;;;0.1491;-1.930;-5.980;-35;-0.000116;;;;107;;;;MWSC 2422;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC6205;GCl;16:41:41.63;+36:27:40.7;Her;16.50;;;;5.80;4.45;3.94;3.85;;;0.0813;-3.180;-2.560;-244;-0.000815;;;;013;;;;2MASX J16414163+3627407,MWSC 2445;Hercules Globular Cluster;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|V-Mag:2|J-Mag:2|H-Mag:2|K-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC6218;GCl;16:47:14.52;-01:56:52.2;Oph;11.10;;;8.52;6.07;;;;;;0.1584;-0.150;-6.770;-41;-0.000138;;;;012;;;;MWSC 2464;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC6254;GCl;16:57:08.99;-04:05:57.6;Oph;9.30;;;;4.98;;;;;;0.1507;-4.720;-6.540;74;0.000247;;;;010;;;;MWSC 2498;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC6266;GCl;17:01:12.60;-30:06:44.5;Oph;7.80;;;8.55;7.39;;;;;;0.1451;-4.990;-2.950;-73;-0.000245;;;;062;;;;MWSC 2512;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
